Curated_variable_name,Curated_variable_type,Curated_variable_label,BiBAgeOfWonder_survey,BiBAgeOfWonder_variable_name,BiBAgeOfWonder_variable_label,Theme
discrim_afraid,haven_labelled,Have people ever acted like they're afraid of you?,survey_mod232_main_dr24,awb8_2_afraid_10,Have people ever acted like they're afraid of you?,identitydiscrimination
discrim_threatened,haven_labelled,Have you ever been threatened?,survey_mod232_main_dr24,awb8_2_threat_11,Have you ever been threatened?,identitydiscrimination
sm_use_Facebook,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Facebook),survey_mod232_main_dr24,awb6_1_social_media_r10___1,Which social media platforms do you use? Tick all that apply (choice=Facebook),digitalsocialmedia
sm_use_Instagram,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Instagram),survey_mod232_main_dr24,awb6_1_social_media_r10___2,Which social media platforms do you use? Tick all that apply (choice=Instagram),digitalsocialmedia
sm_use_X,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=X (formerly,survey_mod232_main_dr24,awb6_1_social_media_r10___3,Which social media platforms do you use? Tick all that apply (choice=X (formerly,digitalsocialmedia
sm_use_TikTok,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=TikTok),survey_mod232_main_dr24,awb6_1_social_media_r10___4,Which social media platforms do you use? Tick all that apply (choice=TikTok),digitalsocialmedia
sm_use_Snapchat,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Snapchat),survey_mod232_main_dr24,awb6_1_social_media_r10___5,Which social media platforms do you use? Tick all that apply (choice=Snapchat),digitalsocialmedia
sm_use_other,haven_labelled,Which social media platforms do you use? Tick all that apply (choice=Other),survey_mod232_main_dr24,awb6_1_social_media_r10___11,Which social media platforms do you use? Tick all that apply (choice=Other),digitalsocialmedia
sm_time_weekday,haven_labelled,How many hours spent using social media during term time?,survey_mod232_main_dr24,awb6_1_time_weekday,How many hours spent using social media during term time?,digitalsocialmedia
sm_time_weekend,haven_labelled,How many hrs do you spend using social media at weekend in term time?,survey_mod232_main_dr24,awb6_1_time_weekend,How many hrs do you spend using social media at weekend in term time?,digitalsocialmedia
sm_positive_1,haven_labelled,Has connecting with friends been a positive experience of social media?,survey_mod232_main_dr24,awb6_1_positive_exp___1,Has connecting with friends been a positive experience of social media?,digitalsocialmedia
sm_positive_2,haven_labelled,Has viewing enjoyable content been a positive experience of social media?,survey_mod232_main_dr24,awb6_1_positive_exp___2,Has viewing enjoyable content been a positive experience of social media?,digitalsocialmedia
sm_positive_3,haven_labelled,Has learning new things  been a positive experience of social media?,survey_mod232_main_dr24,awb6_1_positive_exp___3,Has learning new things been a positive experience of social media?,digitalsocialmedia
sm_positive_4,haven_labelled,Has accessing support been a positive experience of social media?,survey_mod232_main_dr24,awb6_1_positive_exp___4,Has accessing support been a positive experience of social media?,digitalsocialmedia
sm_positive_5,haven_labelled,Has engaging positively with issues been a positive experience of social media?,survey_mod232_main_dr24,awb6_1_positive_exp___5,Has engaging positively with issues been a positive experience of social media?,digitalsocialmedia
sm_positive_6,haven_labelled,Has there been any other positive experience of social media?,survey_mod232_main_dr24,awb6_1_positive_exp___6,Has there been any other positive experience of social media?,digitalsocialmedia
sm_negative_1,haven_labelled,Has people being unpleasant about you been negative experience of social media?,survey_mod232_main_dr24,awb6_1_negative_exp_r5___1,Has people being unpleasant about you been negative experience of social media?,digitalsocialmedia
sm_negative_2,haven_labelled,Has people bullying you been a negative experience of social media?,survey_mod232_main_dr24,awb6_1_negative_exp_r5___2,Has people bullying you been a negative experience of social media?,digitalsocialmedia
sm_negative_3,haven_labelled,Has upsetting content been a negative experience of social media?,survey_mod232_main_dr24,awb6_1_negative_exp_r5___3,Has upsetting content been a negative experience of social media?,digitalsocialmedia
sm_negative_4,haven_labelled,Has sexually explicit images been a negative experience of social media?,survey_mod232_main_dr24,awb6_1_negative_exp_r5___4,Has sexually explicit images been a negative experience of social media?,digitalsocialmedia
sm_negative_5,haven_labelled,Has regrettably posting something online been a negative experience of social media?,survey_mod232_main_dr24,awb6_1_negative_exp_r5___5,Has regrettably posting something online been a negative experience of social media?,digitalsocialmedia
sm_negative_6,haven_labelled,You havent experience any negative experience of social media,survey_mod232_main_dr24,awb6_1_negative_exp_r5___6,You havent experience any negative experience of social media,digitalsocialmedia
sm_negative_7,haven_labelled,You've had a negative experience of social media for another reason,survey_mod232_main_dr24,awb6_1_negative_exp_r5___7,You've had a negative experience of social media for another reason,digitalsocialmedia
sm_experience,haven_labelled,Has your experience of using social media been mostly positive or negative?,survey_mod232_main_dr24,awb6_1_pos_neg,Has your experience of using social media been mostly positive or negative?,digitalsocialmedia
internet_access,haven_labelled,Do you have access to the internet at home?,survey_mod232_main_dr24,awb6_6_int_hme,Do you have access to the internet at home?,digitalsocialmedia
internet_quality,haven_labelled,How good is your internet at home?,survey_mod232_main_dr24,awb6_6_int_hme_gd,How good is your internet at home?,digitalsocialmedia
age_m_heightweight,numeric,Age in months at measurement,heightweight_dr23,age_m,Age (months) at measurement,heightweight
height,numeric,Height (cm),heightweight_dr23,height,Height (cm),heightweight
weight,numeric,Weight (kg),heightweight_dr23,weight,Weight (kg),heightweight
bmi,numeric,BMI (kg/m2),heightweight_dr23,bmi,BMI (kg/m2),heightweight
age_m_skinfold,numeric,Age in months at measurement,skinfold_dr23,age_m,Age (months) at measurement,skinfold
sk_tricep,numeric,Triceps skinfold (mm),skinfold_dr23,sk_tricep,Triceps fold (mm),skinfold
sk_subscap,numeric,Subscapular skinfold (mm),skinfold_dr23,sk_subscap,Subscapular fold (mm),skinfold
age_m_bloodpressure,numeric,Age in months at measurement,bloodpressure_dr23,age_m,Age (months) at measurement,bloodpressure
bp_sys_1,numeric,Systolic reading 1 (mm Hg),bloodpressure_dr23,bp_sys_1,Systolic reading 1 (mm Hg),bloodpressure
bp_dia_1,numeric,Diastolic reading 1 (mm Hg),bloodpressure_dr23,bp_dia_1,Diastolic reading 1 (mm Hg),bloodpressure
bp_sys_2,numeric,Systolic reading 2 (mm Hg),bloodpressure_dr23,bp_sys_2,Systolic reading 2 (mm Hg),bloodpressure
bp_dia_2,numeric,Diastolic reading 2 (mm Hg),bloodpressure_dr23,bp_dia_2,Diastolic reading 2 (mm Hg),bloodpressure
age_m_bioimpedance,numeric,Age (months) at measurement,bioimpedance_dr23,age_m,Age (months) at measurement,bioimpedance
model,factor,,bioimpedance_dr23,model,Bioimpedance scale model,bioimpedance
clothes_weight,numeric,Estimated weight of clothes (kg),bioimpedance_dr23,clothes,Estimated weight of clothes (kg),bioimpedance
fatp,numeric,Total fat %,bioimpedance_dr23,fatp,Total fat %,bioimpedance
fatm,numeric,Fat mass (kg),bioimpedance_dr23,fatm,Fat mass (kg),bioimpedance
pmm,numeric,Predicted muscle mass (kg),bioimpedance_dr23,pmm,Predicted muscle mass (kg),bioimpedance
ffm,numeric,Fat free mass (kg),bioimpedance_dr23,ffm,Fat free mass (kg),bioimpedance
tbw,numeric,Total body water (%),bioimpedance_dr23,tbw,Total body water (kg),bioimpedance
imp,numeric,Impedance (ohms),bioimpedance_dr23,imp,Impedance (ohms),bioimpedance
edeqs_complete,logical,,,,,mentalhealthwellbeing
edeqs_total,numeric,,,,,mentalhealthwellbeing
rcads_dep_complete,logical,,,,,mentalhealthwellbeing
rcads_anx_complete,logical,,,,,mentalhealthwellbeing
rcads_dep_total,numeric,,,,,mentalhealthwellbeing
rcads_anx_total,numeric,,,,,mentalhealthwellbeing
rcads_total,numeric,,,,,mentalhealthwellbeing
swemwbs_complete,logical,,,,,mentalhealthwellbeing
swemwbs_total,numeric,,,,,mentalhealthwellbeing
sdq_con_complete,logical,,,,,mentalhealthwellbeing
sdq_emo_complete,logical,,,,,mentalhealthwellbeing
sdq_hyp_complete,logical,,,,,mentalhealthwellbeing
sdq_pee_complete,logical,,,,,mentalhealthwellbeing
sdq_pro_complete,logical,,,,,mentalhealthwellbeing
sdq_con_total,numeric,,,,,mentalhealthwellbeing
sdq_emo_total,numeric,,,,,mentalhealthwellbeing
sdq_hyp_total,numeric,,,,,mentalhealthwellbeing
sdq_pee_total,numeric,,,,,mentalhealthwellbeing
sdq_pro_total,numeric,,,,,mentalhealthwellbeing
sdq_ext_total,numeric,,,,,mentalhealthwellbeing
sdq_int_total,numeric,,,,,mentalhealthwellbeing
sdq_dif_total,numeric,,,,,mentalhealthwellbeing
ucla3_complete,logical,,,,,mentalhealthwellbeing
ucla3_total,numeric,,,,,mentalhealthwellbeing
ucla4_complete,logical,,,,,mentalhealthwellbeing
ucla4_total,numeric,,,,,mentalhealthwellbeing
brs_complete,logical,,,,,mentalhealthwellbeing
brs_total,numeric,,,,,mentalhealthwellbeing
yaps_complete,logical,,,,,mentalhealthwellbeing
yaps_total,numeric,,,,,mentalhealthwellbeing
fam_birth_place,factor,,survey_mod231_main_dr24,awb1_2_country_brth,What is your country of birth?,demographics
ethnicity,factor,,survey_mod231_main_dr24,awb1_2_ethnicity_r4,What is your ethnicity?,demographics
lang_home,factor,,,,,demographics
lang_number,factor,,,,,demographics
discrim_discourage_reason,factor,,,,,identitydiscrimination
discrim_excluded_reason,factor,,,,,identitydiscrimination
discrim_expected_reason,factor,,,,,identitydiscrimination
discrim_english_reason,factor,,,,,identitydiscrimination
discrim_police_reason,factor,,,,,identitydiscrimination
discrim_staff_reason,factor,,,,,identitydiscrimination
discrim_insults_reason,factor,,,,,identitydiscrimination
discrim_service_reason,factor,,,,,identitydiscrimination
discrim_intelligent_reason,factor,,,,,identitydiscrimination
discrim_afraid_reason,factor,,,,,identitydiscrimination
discrim_threatened_reason,factor,,,,,identitydiscrimination
